1	Saujule Study is a 77-year-old woman with a history of obesity and hypertension who presents with increased shortness of breath x 5 days .	Saujule Study is a 77-year-old lady with a background marked by weight and hypertension who presents with expanded shortness of breath x 5 days .
1	Her shortness of breath has been progressive over the last 2-3 years .	Her shortness of breath has been dynamic throughout the last 2-3 years .
1	She becomes short of breath just by getting up from her chair and can only walk 2-3 steps on a flat surface .	She turns out to be shy of breath just by getting up from her seat and can just walk 2-3 stages on a level surface .
1	They last a few seconds on the left side and are not associated with sweating , nausea , vomiting or syncope .	They keep going a couple of moments on the left side and are not related with sweating , queasiness , retching or syncope .
0	She has no dyspnea or dysphagia .	She has dyspnea.
1	Her lower extremity edema has increased for the several weeks prior to admission secondary to an inability to elevate her legs due to a broken chair at home .	Her lower limit edema has expanded for the few weeks before confirmation optional to a failure to lift her legs because of a broken seat at home .
1	The patient is a 58 year old female with a history of Parkinson's disease for more than twenty years who presented to the Gemenadentoolpai Medical Center with a revolving anterolateral wall myocardial infarction on 08-01-93 .	The patient is a 58 year old female with a past filled with Parkinson's ailment for over twenty years who introduced to the Gemenadentoolpai Medical Center with a rotating anterolateral divider myocardial dead tissue on 08-01-93 .
0	She has developed symptoms from a right lower dominant nodule with pressure discomfort in the neck .	She has developed symptoms from a left dominant nodule with pressure discomfort in the chest .
1	Her electrocardiogram showed a new right bundle branch block and left anterior hemiblock .	Her electrocardiogram demonstrated another correct package branch square and left front hemiblock .
0	The patient is a 51 year-old female , with a non-toxic multinodular goiter .	The patient is a 51 year-old male , with anaemia.
1	Her hospital course was remarkable for ruling in for a myocardial infarction with a peak CPK of 9,379 units with a 5.9% MB fraction .	Her healing center course was amazing for decision in for a myocardial dead tissue with a pinnacle CPK of 9,379 units with a 5.9% MB part .
1	In addition , on telemetry she developed complete heart block and hypotension requiring temporary pacing wire and then a permanent pacemaker implantation on 08-03-93 .	What's more , on telemetry she created finish heart piece and hypotension requiring transitory pacing wire and afterward a changeless pacemaker implantation on 08-03-93 .
0	Patient was tolerating regular diet by HD4 , and GI felt that further workup could be continued as an outpatient .	Patient was tolerating regular diet by HD4 , and but GI felt that further workup could not be continued as an outpatient .
0	Patient was discharged home in stable condition , voiding , ambulating and eating without difficulty .	Patient was discharged home in unstable condition and eating with difficulty .
1	The left anterior descending had a severe 80% proximal stenosis with a filling defect consistent with intraluminal thrombus .	The left front dropping had a serious 80% proximal stenosis with a filling imperfection steady with intraluminal thrombus .
1	The patient reports dizziness intermittently times several months now increasing in frequency described as episodes where she feels faint .	The patient reports tipsiness discontinuously times a while now expanding in recurrence portrayed as scenes where she feels black out .
0	She has a history of glaucoma and a questionable history of claudication in her legs as well as a history of hypertension .	She has a history of glaucoma as well as a history of hypertension .
1	The patient is an 80 female with a history of diastolic function and heart failure , hypertension and rheumatoid arthritis who presents from an outside hospital with presyncope .	The patient is a 80 female with a background marked by diastolic capacity and heart disappointment , hypertension and rheumatoid joint pain who presents from an outside clinic with presyncope .
0	The past medical history is significant for hypertension .	The past medical history is not significant for hypertension .
1	This had been noted in the outpatient setting approximately one to two years prior to admission .	This had been noted in the outpatient setting roughly one to two years preceding affirmation .
1	The patient had a systolic murmur 3/6 that radiated to the carotids with a decreased left radial pulse per the emergency room .	The patient had a systolic mumble 3/6 that emanated to the carotids with a diminished left spiral heartbeat per the crisis room .
0	Medications on admission were only aspirin p.r.n. and Timoptic solution 0.5% to the left eye twice a day .	Medications on admission were only aspirin p.r.n. and Timoptic solution 0.9% to the left eye thrice a day .
1	She received Nitropaste , aspirin , laboratory studies and was taken to the floor for further management .	She got Nitropaste , headache medicine , research facility examines and was taken to the floor for encourage administration .
1	The patient has a history of anemia as per past medical history above .	The patient has a background marked by frailty according to past therapeutic history above .
0	She has known bilateral carotid disease , stated to be greater than 70% bilaterally .	She may have bilateral carotid disease , greater than 90% bilaterally .
1	This bone marrow transplant did not produce remission and then he was treated with three cycles of VAD subsequently .	This bone marrow transplant did not deliver reduction and after that he was treated with three cycles of VAD consequently .
0	Patient will finish course of H. pylori treatment as well .	Patient will finish course of biopsy as well .
1	About two weeks prior to admission the patient developed mid back pain , burning in nature with radiation around the right lower ribs .	Around two weeks before confirmation the patient created mid back torment , consuming in nature with radiation around the correct lower ribs .
1	He also began to develop noticeably increasing bilateral lower extremity weakness and possibly numbness in the lower extremities .	He additionally started to grow discernibly expanding respective lower limit shortcoming and potentially deadness in the lower furthest points .
0	Patient was discharged home in stable condition , voiding , ambulating and eating without difficulty .	Patient was discharged home in unstable condition and eating with difficulty .
1	He stated that he had difficulty rising from a chair .	He expressed that he experienced issues ascending from a seat .
1	However , one day prior to admission the patient developed right lower extremity pain and could not walk secondary to the pain .	However , one day preceding confirmation the patient grew right lower furthest point torment and couldn't walk optional to the agony .
1	He has had chronic bilateral lower extremity swelling since his transplant but the right lower extremity swelling was noticeably increased .	He has had perpetual respective lower furthest point swelling since his transplant however the correct lower limit swelling was discernibly expanded .
0	Patient was tolerating regular diet by HD4 , and GI felt that further workup could be continued as an outpatient .	Patient was tolerating regular diet by HD4 , and but GI felt that further workup could not be continued as an outpatient .
1	At the time of presentation the patient denied headache , arm weakness , changes in vision , dysarthria , abdominal pain , nausea or vomiting , chest pain or shortness of breath .	At the season of introduction the patient denied migraine , arm shortcoming , changes in vision , dysarthria , stomach torment , queasiness or spewing , chest agony or shortness of breath .
1	He was given stress steroids and was subsequently transferred to Lorough Medical Center's Intensive Care Unit for further management .	He was given pressure steroids and was in this manner exchanged to Lorough Medical Center's Intensive Care Unit for facilitate administration .
1	Patient's problem started four years ago when she first experienced a pushing forward of her uterus .	Patient's concern begun four years back when she initially encountered a pushing forward of her uterus .
1	Two months ago , the patient slipped and fell with valsalva that precipitated an exacerbation of her prolapse .	Two months back , the patient slipped and fell with valsalva that accelerated a fuel of her prolapse .
0	Extremities show no edema .	Extremities show edema .
0	She is a seventy-one year old female with a history of hypertension who is in otherwise good health .	She is a sixty-one year old female with no history of hypertension who is in good health .
1	Her letter was referred to Dr. Earllamarg Para who saw her in the office and recommended vaginal hysterectomy .	Her letter was alluded to Dr. Earllamarg Para who saw her in the workplace and prescribed vaginal hysterectomy .
0	She also felt dizzy and the room was spinning .	She did not felt dizzy .
1	He was well until the evening prior to presentation to the emergency room when he complained of headache across the forehead .	He was well until the point that the night before introduction to the crisis room when he griped of cerebral pain over the temple .
1	On the day of presentation , he was then found by his daughter lying on his bed groaning , being relatively unresponsive and unable to speak .	Upon the arrival of introduction , he was then found by his little girl lying on his bed moaning , being moderately inert and unfit to talk .
0	Extremities show no edema .	Extremities show edema .
1	Patient presented to his private medical doctor in Gewestster with transient calf pain on walking less than fifty yards .	Tolerant displayed to his private medicinal specialist in Gewestster with transient calf torment on strolling under fifty yards .
1	Abdominal aortic aneurysm was discovered on examination and patient was referred to Retelk County Medical Center .	Stomach aortic aneurysm was found on examination and patient was alluded to Retelk County Medical Center .
0	She is a seventy-one year old female with a history of hypertension who is in otherwise good health .	She is a sixty-one year old female with no history of hypertension who is in good health .
1	His post-operative course was complicated by an E. coli urinary tract infection and transient acute renal failure with increasing creatinine .	His post-agent course was convoluted by an E. coli urinary tract disease and transient intense renal disappointment with expanding creatinine .
1	The patient has multiple AIDS illnesses including MAI who has multiple admissions for pseudomonas pneumonia .	The patient has various AIDS sicknesses including MAI who has numerous confirmations for pseudomonas pneumonia .
0	Pelvic exam showed a small mobile uterus .	Pelvic exam showed a big uterus .
1	He was again treated with IV Ceftazidime for presumed pseudomonal pneumonia and discharged home on IV antibiotics which he is presently on .	He was again treated with IV Ceftazidime for assumed pseudomonal pneumonia and released home on IV anti-infection agents which he is directly on .
1	The patient did well at home with decreasing fever and good appetite until the night prior to admission when he developed fever and chills .	The patient did well at home with diminishing fever and great craving until the point when the night preceding affirmation when he created fever and chills .
1	He notes no tenderness , erythema , warmth or exudate from the passport site .	He takes note of no delicacy , erythema , warmth or exudate from the identification site .
0	Abdomen obese , no scars .	Abdomen obese , with scars .
1	Subsequently , the mass continued to increase in size .	Along these lines , the mass kept on expanding in measure .
1	A fine needle aspirate of this mass reportedly revealed giant cell tumor .	A fine needle suction of this mass supposedly uncovered mammoth cell tumor .
0	She is somewhat obese elderly female .	Hee is somewhat obese elderly male .
0	Abdomen obese , no scars .	Abdomen obese , with scars .
1	The patient was initially told that this was a benign tumor and that it could simply be watched and definitively treated after the delivery of her baby .	The patient was at first told this was a benevolent tumor and that it could essentially be viewed and conclusively treated after the conveyance of her child .
1	The patient is a 58 year old female with a history of Parkinson's disease for more than twenty years who presented to the Gemenadentoolpai Medical Center with a revolving anterolateral wall myocardial infarction on 08-01-93 .	The patient is a 58 year old female with a past filled with Parkinson's sickness for over twenty years who displayed to the Gemenadentoolpai Medical Center with a rotating anterolateral divider myocardial localized necrosis on 08-01-93 .
0	She is somewhat obese elderly female .	Hee is somewhat obese elderly male .
1	Pathology revealed poorly differentiated squamous cell carcinoma of the cervix with spots of vaginal margins and metastatic squamous cell carcinoma in the cardinal ligaments with extensive lymphatic invasion .	Pathology uncovered inadequately separated squamous cell carcinoma of the cervix with spots of vaginal edges and metastatic squamous cell carcinoma in the cardinal tendons with broad lymphatic intrusion .
0	This morning while on a cruise ship , she was eating breakfast when she suddenly noticed she could not see a roll on her plate although she knew that it was there .	This morning while on her table , she was eating breakfast when she noticed she could not see a bun on her plate although she knew that it was there .
0	The past surgical history is negative .	The past surgical history is positive .
1	She was referred to the Emergency Department .	She was alluded to the Crisis Office . 
1	Chest x-ray was remarkable for a questionable left lower lobe infiltrate .	Chest x-beam was astounding for a flawed left lower flap penetrate . 
0	The patient received nebulizer treatment with oxygen saturations increasing up to 98 percent on room air .	The patient got heart treatment with oxygen immersions .
1	The patient was switched to 2 liters nasal cannula and oxygen saturating at 98 to 100	The patient was changed to 2 liters nasal cannula and oxygen immersing at 98 to 100 percent . 
1	The patient is stable without an oxygen requirement .	The patient is steady without an oxygen necessity . 
1	The patient will be discharged to home .	The patient will be released to home .
0	He reports that he felt fatigued during the week prior to the current admission .	He reports that he felt string before the present affirmation . 
0	It is unclear from history what these studies revealed .	It is clear from history what these examinations uncovered . 
1	He describes mild reflux symptoms at night .	He portrays mellow reflux side effects during the evening . 
1	He was placed on Levo and Ceftriaxone .	He was set on Levo and Ceftriaxone . 
0	He was given Levo 750 mg PO X1 , and Flagyl 500 mg PO X1 .	He was given Ammox 50 mg PO X1 . 
1	His oxygen requirement decreased , and his overall status improved quickly .	His oxygen prerequisite diminished , and his general status enhanced rapidly . 
1	He is being transferred to the floor for ongoing care .	He is being exchanged to the floor for progressing care .
1	He will need follow-up bloodwork as an outpatient .	He will require follow-up bloodwork as an outpatient . 
0	He underwent an xray of the L femur which did not suggest an acute fracture .	He experienced a xray of the thigh which proposed an intense break . 
1	Recent CT scan showed destruction of L femoral neck .	Late CT check demonstrated pulverization of L femoral neck . 
1	Patient was instructed to restart Sutent next Monday .	Tolerant was told to restart Sutent next Monday . 
1	ECHO was done and confirmed normal ejection fraction .	Resound was done and affirmed typical discharge division . 
1	He takes Imodium and Lomotil while on Sutent for diarrhea .	He takes Imodium and Lomotil while on Sutent for loose bowels .
0	He has not had a BM in 3 days now .	He has not had xray in 3 days now .
0	Lives alone in apartment in Boston .	Lives with family in bungalow in Boston . 
1	Quit tobacco in 2003 after smoking 1 ppd for " a very long time ".	Stop tobacco in 2003 in the wake of smoking 1 ppd for " quite a while ". 
0	The patient was taken to the OR twice with orthopaedics .	The patient was not taken to the OR even once.
1	The patient had a PICC line placed and will continue a 8 week course of antibiotics .	The patient had a PICC line set and will proceed with a 8 week course of anti-infection agents . 
1	The patient will also wear a back brace at all times while out of bed .	The patient will likewise wear a back support consistently while out of bed . 
0	The patient 's portocath was removed .	The patient 's portocath is still there .
1	The patient will get a total of a two week course of Diflucan .	The patient will get a sum of a two week course of Diflucan .
0	She denied abd pain , fevers , chills .	Shehas mild fever.
1	She also described sob , nausea , worsening lower ext edema .	She additionally depicted cry , queasiness , intensifying lower ext edema . 
1	She was admitted for a large volume paracentesis but her INR on admission was 3.8 .	She was conceded for a substantial volume paracentesis however her INR on confirmation was 3.8 . 
1	She then had 6L of non-bloody ascitic fluid removed without complication .	She at that point had 6L of non-wicked ascitic liquid evacuated without entanglement . 
0	She received 36gm of albumin following the tap .	She hardly got 1gm of egg whites following the tap . 
1	Patient denies etoh and tobacco use .	Understanding denies etoh and tobacco utilize .
1	She has a history of heavy alcohol use .	She has a background marked by substantial liquor utilize . 
0	Lives alone second floor apartment ; son and mother nearby.	Lives with family second floor condo ; child and mother close-by. 
1	CT of the abdomen and pelvis showed no evidence of bleed .	CT of the guts and pelvis demonstrated no confirmation of drain .
1	She received one unit of PRBC s.	She got one unit of PRBC s. 
1	Walks with walker .	Strolls with walker .
0	Denies history of tobacco , etoh , drugs .	Has a history of tobacco , etoh , drugs .
1	The patient was diagnosed as having an acute myocardial infarction .	The patient was analyzed as having an intense myocardial dead tissue .
1	The patient slowly weaned off Neo-Synephrine as tolerated .	The patient gradually weaned off Neo-Synephrine as endured . 
0	He was transferred to the floor on 2009-05-04 .	He was never transferred to the floor on 2009-05-04 .
1	His chest tube had been discontinued .	His chest tube had been suspended . 
1	The patient was seen by Physical Therapy .	The patient was seen by Active recuperation .
0	Used to work as hat manufacturer .	Used to work as teacher.
1	She remained on CPAP for a total of 24 hours at which time she transitioned to room air and continues to be stable in room air .	She stayed on CPAP for a sum of 24 hours at which time she progressed to room air and keeps on being steady in room air . 
1	Caffeine citrate was initiated on 11-14 for apnea and bradycardia of prematurity .	Caffeine citrate was started on 11-14 for apnea and bradycardia of rashness . 
0	She is currently receiving 11 mg po every day .	She is hardly receiving 5 mg po every day .
0	Has been cardiovascular stable throughout hospital course .	Has not been cardiovascular, not stable throughout hospital course .
1	Infant was initially started on 80 cc per kilo per day of D10W .	Newborn child was at first began on 80 cc for every kilo every day of D10W . 
1	Enteral feedings were initiated on day of life #1 .	Enteral feedings were started on day of life #1 . 
1	Infant achieved full enteral feedings by day of life 6 .	Newborn child accomplished full enteral feedings by day of life 6 . 
0	She is currently receiving 150 cc per kilo per day of Special Care 20 .	She is hardly receiving 10 cc per kilo per day of Special Care 20 
1	Her discharge weight is 1477 gm .	Her release weight is 1477 gm .
0	He was transferred to the CMED CCU in critical but stable condition .	He was never transferred to the CMED CCU even in critical condition .
0	He was weaned from his vasoactive drips and transferred to the floor on POD #2 .	He was not weaned from his vasoactive trickles.
1	He was taken to the operating room on 2019-10-01 where he underwent a CABG x 3 .	He was taken to the working room on 2019-10-01 where he experienced a CABG x 3 . 
1	No lifting more than 10 pounds or driving until follow up with surgeon .	No lifting in excess of 10 pounds or driving until catch up with specialist . 
0	History of cerebrovascular accident with residual right sided weakness .	History of cerebrovascular accident with residual left sided weakness .
1	Patient recorded as having No Known Allergies to Drugs.	Understanding recorded as having No Known Hypersensitivities to Medications. 
0	The patient denies having any drug allergies .	The patient has many drug allergies .
1	He was anicteric with moist mucous membranes .	He was anicteric with wet mucous films . 
1	Skin was strong build and was in no apparent distress .	Skin was solid form and was in no obvious pain . 
0	There were no lifts or heaves on examination .	There were many lifts or heaves on examination .
1	His lungs were clear to auscultation .	His lungs were obvious to auscultation . 
